id_canti,titolo,autore,raccolta,momento,url,link_youtube
2237,A Betlemme di Giudea,Tradizionale Noel Francese,,3,/canto/a-betlemme-di-giudea-2237,MhDWyKjGUP8
3094,A te canto ,Marcello Giombini,Anche tu vedrai,"14,25",/canto/a-te-canto-3094,pS_EHnGvekU
2619,A te elevo la voce,RnS - P.Wilbur,Prostrati adoriamo,"18,22,31",/canto/a-te-elevo-la-voce-2619,lmRLq3iLKLc
1634,A te grido mio Signore,RnS,Fuoco d'amore,"9,14",/canto/a-te-grido-mio-signore-1634,WpgDwwElBGk
